,p_id,ycount,gcount,hfcount,fcount,sum,difference,percentage
129,130,9,92,0,786,887,-395.8027397260273,-0.30854528718153523
130,131,2,6,0,201,209,-143.83561643835617,-0.4076561711379431
131,132,2222,4,0,3460,5686,-47.287671232877074,-0.008247915322677052
132,133,1,11,0,424,436,-100.54520547945208,-0.18739372647940403
133,134,2,39,0,312,353,-187.6602739726028,-0.34709462301295735
134,135,0,8,0,296,304,-174.3808219178082,-0.36452302000469616
135,136,3,11,0,424,438,-196.14794520547946,-0.30930943904883695
136,137,1214,0,0,1610,2824,-746.7808219178082,-0.20913656120644347
137,138,2315,1,0,1874,4190,-934.1589041095895,-0.1823048273074419
138,139,0,2,0,220,222,-125.26301369863012,-0.3607151028394253
139,140,1661,0,0,1384,3045,-919.1945205479451,-0.23187422206034702
140,141,2649,0,0,1608,4257,-634.0575342465754,-0.12963608172813007
141,142,2357,0,0,1403,3760,-834.0657534246575,-0.18155285496358017
142,143,1183,0,0,1248,2431,-681.0849315068494,-0.21885165299041917
143,144,687,0,0,1427,2114,-607.2684931506851,-0.22315640469845355
144,145,65,122,0,1001,1188,-600.304109589041,-0.3356834591891606
145,146,107,33,0,456,596,-230.61369863013704,-0.27898605964588985
146,147,0,3,0,321,324,-217.73424657534247,-0.4019207719500539
147,148,1177,0,0,2592,3769,-1645.6547945205475,-0.303926077833419
148,149,0,4,0,474,478,-58.986301369862986,-0.10984693877551016
149,150,0,4,0,247,251,-77.61917808219181,-0.23619795574675276
150,151,898,0,0,866,1764,-371.49589041095896,-0.17396235323097137
151,152,67,60,0,451,578,-271.4630136986301,-0.3195701393950731
152,153,0,3,0,89,92,-52.367123287671234,-0.3627357953467188
153,154,1,1,0,19,21,-2.6273972602739732,-0.11120129870129873
154,155,2,10,0,496,508,-165.5643835616438,-0.24580335243704518
155,156,0,0,0,127,127,-95.23835616438356,-0.42854148945350545
156,157,4,2,0,395,401,-267.64931506849314,-0.4002835403204989
157,158,920,0,0,1256,2176,-788.7506849315068,-0.2660428375783406
158,159,3,14,0,439,456,-474.3972602739726,-0.5098867768960085
159,160,0,2,0,372,374,-135.65753424657532,-0.2661739013573444
160,161,2548,2,0,1697,4247,-1450.5726027397259,-0.25459484308145647
161,162,2822,0,0,1609,4431,-749.8164383561643,-0.14472939685816694
162,163,2550,0,0,1662,4212,82.93972602739723,0.02008682860606446
163,164,2133,0,0,2311,4444,-797.8328767123285,-0.1522049434763224
164,165,4,14,0,811,829,65.6739726027397,0.08603659543310813
165,166,357,220,0,812,1389,-616.5643835616438,-0.3074268712663808
166,167,4,10,0,448,462,-462.6602739726028,-0.5003570359791527
167,168,20,20,0,607,647,-546.186301369863,-0.45775441835260944
168,169,0,12,0,614,626,-498.1534246575343,-0.4431365094220065
169,170,2851,0,0,2013,4864,-1272.0328767123292,-0.20730542066356744
170,171,1,4,0,358,363,-117.47123287671235,-0.24449170905275647
171,172,0,0,0,61,61,-23.45753424657535,-0.27774353651020217
172,173,4,21,0,462,487,-175.69315068493154,-0.26511991334653534
173,174,2,7,0,479,488,-356.8246575342466,-0.4223653445150327
174,175,0,1,0,140,141,-70.1917808219178,-0.33236038139715895
175,176,0,0,0,33,33,-24.19178082191781,-0.4229940119760479
176,177,0,12,0,711,723,-452.21369863013706,-0.38479273953090437
177,178,0,6,0,331,337,38.1698630136986,0.12773096916743823
178,179,83,69,0,715,867,-229.99726027397264,-0.2096607426499236
179,180,0,4,0,226,230,-97.72602739726028,-0.2981942818926601
180,181,66,153,0,1947,2166,-540.9068493150685,-0.1998247000822857
181,182,0,13,0,302,315,-281.082191780822,-0.47154938640437566
182,183,0,3,0,134,137,-95.22191780821919,-0.4100470735361782
183,184,0,1,0,24,25,-21.473972602739728,-0.4620644933089666
184,185,0,6,0,379,385,-223.21643835616442,-0.36700165316059985
185,186,3465,0,0,1247,4712,-1075.224657534247,-0.18579279726672407
186,187,0,0,0,76,76,-50.016438356164386,-0.3969040786155318
187,188,7,20,0,1335,1362,-609.7095890410958,-0.30922890086344645
188,189,26,14,0,833,873,-91.64657534246578,-0.09500533945287651
189,190,2,1,0,124,127,-56.087671232876716,-0.30634324449698475
190,191,0,7,0,359,366,-210.3397260273972,-0.3649578825274286
191,192,2,3,0,212,217,-118.73698630136988,-0.3536607259433347
192,193,54,19,0,179,252,-147.71232876712327,-0.3695465917269269
193,194,2,0,0,12,14,-9.539726027397261,-0.4052607076350093
194,195,1,2,0,269,272,-158.0,-0.3674418604651163
195,196,9,43,0,355,407,-149.52602739726024,-0.268677510190418
196,197,2,3,0,618,623,-311.5671232876713,-0.3333812152428639
197,198,1,0,0,945,946,-648.3479452054794,-0.40665398488152493
198,199,0,0,0,0,0,-0.23835616438356164,-1.0
199,200,1,4,0,258,263,-132.64931506849314,-0.3352699221671329
200,201,0,0,0,59,59,-32.010958904109586,-0.3517264216261778
201,202,5,1,0,112,118,-35.315068493150676,-0.23034310221586843
202,203,1,0,0,243,244,-129.0301369863014,-0.3458973530362232
203,204,0,0,0,22,22,-20.010958904109586,-0.47632711621233853
204,205,0,4,0,501,505,-315.64931506849314,-0.38463361788360034
205,206,0,0,0,240,240,-165.34520547945203,-0.40791207899912807
206,207,0,0,0,3,3,-1.235616438356164,-0.2917205692108667
207,208,0,2,0,413,415,-234.23835616438362,-0.3607894603581858
208,209,118,0,0,317,435,-274.17808219178085,-0.3866138690361213
209,210,0,27,0,578,605,-154.12054794520543,-0.2030251300170709
210,211,516,0,0,947,1463,-412.72054794520545,-0.22003306857054383
211,212,3,15,0,287,305,-227.11780821917807,-0.426818656904692
212,213,1,11,0,628,640,-390.46027397260264,-0.3789183181873773
213,214,0,0,0,78,78,-46.66301369863014,-0.3743132170014505
214,215,9,3,0,425,437,-253.57534246575347,-0.3671943188129811
215,216,4,9,0,913,926,-328.6739726027397,-0.2619596642472202
216,217,4,9,0,311,324,-37.821917808219155,-0.10453185931170252
217,218,1,2,0,252,255,-194.66027397260274,-0.43290520697512885
218,219,3,3,0,250,256,-169.61095890410957,-0.39851172850632127
219,220,3,22,0,509,534,-213.81643835616444,-0.2859210193696351
220,221,0,0,0,136,136,-137.46027397260275,-0.5026699928866981
221,222,0,2,0,202,204,-129.56712328767122,-0.3884289375123201
222,223,88,141,0,920,1149,-495.07671232876714,-0.30112750129980936
223,224,340,0,0,747,1087,-244.64931506849325,-0.18371902594784104
224,225,13,28,0,1714,1755,-697.5890410958905,-0.28442964940599536
225,226,264,95,0,999,1358,-407.9479452054795,-0.2310079106878839
226,227,1,6,0,395,402,-139.69863013698625,-0.25788994537730114
227,228,11,10,0,599,620,-316.93150684931504,-0.33826539563717173
228,229,1875,0,0,1562,3437,-754.4739726027401,-0.180002065510678
229,230,3787,0,0,2382,6169,286.7643835616436,0.04875091755254731
230,231,1061,0,0,1906,2967,-1567.8739726027397,-0.34573705511442826
231,232,181,0,0,1179,1360,-314.7671232876712,-0.18794680102733563
232,233,1181,1,0,1495,2677,-623.1123287671235,-0.18881549071389023
233,234,2103,0,0,2145,4248,-1315.3068493150686,-0.23642536443536344
234,235,1,10,0,698,709,-429.09863013698623,-0.3770311454336239
235,236,3461,23,0,1506,4990,-1305.3534246575346,-0.20735188902099574
236,237,3290,2,0,1506,4798,-1345.9835616438359,-0.21907343145360159
237,238,1980,0,0,1661,3641,-684.3808219178081,-0.15822440846130262
238,239,2569,0,0,1635,4204,-444.3315068493148,-0.0955894617659245
239,240,0,1,0,119,120,-76.63013698630138,-0.3897171520133761
240,241,0,10,0,509,519,-364.4575342465754,-0.41253543053134945
241,242,1,18,0,456,475,-328.6465753424658,-0.40894416205583456
242,243,15,78,0,1128,1221,-393.9835616438356,-0.2439551528579111
243,244,70,172,0,1303,1545,-732.0109589041094,-0.3214788914570772
244,245,0,0,0,90,90,-87.72328767123287,-0.4935947833325625
245,246,1877,1,0,1978,3856,-120.43287671232883,-0.030286661549761007
246,247,16,21,0,537,574,-462.20000000000005,-0.44605288554333145
247,248,0,4,0,293,297,-248.79999999999995,-0.4558446317332356
248,249,1885,0,0,2281,4166,-707.364383561644,-0.14514908549577296
249,250,1,4,0,300,305,-193.35616438356163,-0.38798790544255085
250,251,0,0,0,171,171,46.83287671232877,0.3771761435096313
251,252,1,1,0,210,212,-77.23287671232879,-0.2670266174102492
252,253,1,0,0,7,8,-8.50958904109589,-0.5154331231330899
253,254,1,12,0,574,587,-422.5150684931507,-0.41853270117484864
254,255,132,377,0,2421,2930,-213.21917808219177,-0.0678346516746203
255,256,76,93,0,1730,1899,-512.9972602739726,-0.21268567287497772
256,257,1,7,0,253,261,-148.69315068493148,-0.36293784857360667
257,258,0,4,0,426,430,-299.99452054794517,-0.4109544826757941
258,259,1,2,0,451,454,-231.23561643835615,-0.33745417034836533
259,260,77,166,0,669,912,-336.27123287671225,-0.2693895557472361
260,261,419,0,0,685,1104,-195.9780821917809,-0.15075491262234142
261,262,1529,0,0,1296,2825,-495.72054794520545,-0.14928101922094808
262,263,2021,5,0,1529,3555,-586.6438356164381,-0.14164516769200233
